shipment_id,sku_id,transit_hours,avg_temp,shock_events,spoilage_flag
SHP-001,banana78,99.1,14.0,4,1
SHP-002,milk_carton,114.5,21.0,7,1
SHP-003,strawberry45,55.4,0.4,7,1
SHP-004,cheese_block,83.6,14.7,3,1
SHP-005,apple_gala,23.2,14.9,4,0
SHP-006,banana78,37.5,13.1,6,1
SHP-007,apple_gala,71.1,2.5,7,0
SHP-008,milk_carton,104.5,23.8,7,1
SHP-009,apple_gala,108.7,23.5,1,1
SHP-010,apple_gala,44.7,20.5,5,0
SHP-011,banana78,88.9,17.2,0,1
SHP-012,cheese_block,83.1,-2.1,9,0
SHP-013,apple_gala,9.1,20.5,9,1
SHP-014,milk_carton,71.4,32.1,1,1
SHP-015,banana78,94.6,25.2,0,1
SHP-016,strawberry45,31.7,30.6,5,1
SHP-017,strawberry45,47.1,29.5,7,1
SHP-018,milk_carton,24.8,-2.4,9,0
SHP-019,strawberry45,81.1,6.0,2,0
SHP-020,milk_carton,108.2,17.7,8,1
SHP-021,apple_gala,80.2,27.1,7,0
SHP-022,banana78,20.8,34.0,3,1
SHP-023,strawberry45,103.7,1.7,7,1
SHP-024,apple_gala,104.2,21.0,8,0
SHP-025,apple_gala,92.6,3.8,1,0
SHP-026,banana78,47.8,21.9,3,1
SHP-027,cheese_block,10.6,17.8,9,1
SHP-028,cheese_block,35.6,16.4,6,1
SHP-029,milk_carton,50.8,3.2,1,0
SHP-030,banana78,60.4,-2.2,5,0
SHP-031,cheese_block,14.6,30.5,1,1
SHP-032,milk_carton,14.7,28.3,3,1
SHP-033,milk_carton,79.0,18.0,3,1
SHP-034,strawberry45,57.2,27.8,1,1
SHP-035,cheese_block,65.1,30.5,3,1
SHP-036,cheese_block,5.9,7.6,7,0
SHP-037,strawberry45,101.9,13.4,9,1
SHP-038,strawberry45,45.6,27.3,9,1
SHP-039,apple_gala,56.8,15.4,5,0
SHP-040,milk_carton,9.2,26.1,3,1
SHP-041,strawberry45,9.5,14.5,9,1
SHP-042,strawberry45,116.3,8.7,6,1
SHP-043,banana78,48.1,13.7,8,1
SHP-044,apple_gala,27.9,10.6,8,0
SHP-045,strawberry45,67.7,26.4,1,1
SHP-046,banana78,24.8,3.6,8,1
SHP-047,cheese_block,50.1,-0.7,5,0
SHP-048,apple_gala,76.0,10.0,9,1
SHP-049,milk_carton,61.3,-2.3,5,0
SHP-050,strawberry45,19.1,17.6,6,1
SHP-051,strawberry45,60.9,23.6,3,1
SHP-052,strawberry45,53.3,1.6,1,0
SHP-053,strawberry45,36.2,32.9,4,1
SHP-054,cheese_block,56.7,27.5,0,1
SHP-055,strawberry45,91.6,29.9,4,1
SHP-056,cheese_block,23.7,-3.7,7,0
SHP-057,milk_carton,6.1,2.4,7,0
SHP-058,strawberry45,48.7,5.4,5,1
SHP-059,cheese_block,39.5,18.9,8,1
SHP-060,strawberry45,27.2,33.2,4,1
SHP-061,apple_gala,66.3,5.5,9,0
SHP-062,banana78,25.1,27.5,4,1
SHP-063,banana78,63.0,33.4,1,1
SHP-064,strawberry45,70.4,15.0,0,1
SHP-065,milk_carton,66.1,-2.6,2,0
SHP-066,banana78,111.6,0.4,9,0
SHP-067,banana78,46.4,28.9,9,1
SHP-068,strawberry45,110.8,32.0,8,1
SHP-069,strawberry45,90.6,6.3,0,1
SHP-070,cheese_block,62.5,26.6,1,1
SHP-071,apple_gala,104.3,3.9,4,0
SHP-072,milk_carton,36.3,-2.6,4,0
SHP-073,milk_carton,102.5,28.9,1,1
SHP-074,milk_carton,25.8,23.2,1,1
SHP-075,milk_carton,32.5,34.3,2,1
SHP-076,milk_carton,32.3,11.0,4,0
SHP-077,banana78,91.1,28.8,7,1
SHP-078,banana78,60.4,3.2,6,1
SHP-079,apple_gala,60.2,3.0,9,0
SHP-080,banana78,101.8,8.2,7,0
SHP-081,apple_gala,119.5,0.7,6,0
SHP-082,strawberry45,72.2,-1.8,1,1
SHP-083,banana78,26.4,23.3,3,1
SHP-084,strawberry45,96.4,14.6,4,1
SHP-085,cheese_block,103.1,9.2,3,0
SHP-086,milk_carton,59.5,2.6,6,0
