route_id,distance_km,vehicle_type,weather,load_type,actual_eta_hours
R-0001,955.4,van,foggy,medium,19.07
R-0002,538.4,truck_large,foggy,medium,11.76
R-0003,684.1,truck_large,foggy,medium,16.28
R-0004,465.7,truck_small,foggy,light,9.45
R-0005,24.4,truck_small,rain,heavy,0.5
R-0006,398.5,truck_small,light_snow,medium,9.09
R-0007,872.9,truck_large,rain,light,16.44
R-0008,736.0,truck_large,rain,medium,15.16
R-0009,1348.1,truck_large,rain,medium,26.97
R-0010,348.3,truck_small,foggy,light,7.18
R-0011,522.3,truck_small,light_snow,light,12.19
R-0012,1402.0,truck_small,foggy,medium,28.45
R-0013,332.6,truck_large,clear,heavy,6.28
R-0014,1325.6,truck_large,light_snow,medium,32.3
R-0015,35.3,truck_small,foggy,heavy,0.79
R-0016,971.9,van,clear,medium,14.96
R-0017,1286.5,truck_large,light_snow,heavy,33.46
R-0018,570.8,van,light_snow,heavy,12.94
R-0019,1278.8,van,light_snow,light,28.55
R-0020,266.8,van,foggy,light,5.15
R-0021,332.7,truck_large,foggy,heavy,8.35
R-0022,1061.2,van,rain,heavy,20.51
R-0023,633.7,van,foggy,heavy,13.12
R-0024,1352.9,truck_large,clear,heavy,24.22
R-0025,1443.9,truck_large,light_snow,medium,37.76
R-0026,893.2,van,rain,light,14.77
R-0027,1342.0,truck_small,foggy,medium,28.78
R-0028,1145.2,truck_small,foggy,light,23.36
R-0029,1197.5,van,clear,heavy,17.98
R-0030,1071.9,truck_small,light_snow,medium,23.89
R-0031,994.6,van,light_snow,light,21.16
R-0032,793.5,van,clear,medium,11.22
R-0033,1367.5,van,foggy,light,25.15
R-0034,919.4,van,rain,medium,17.01
R-0035,571.5,truck_large,light_snow,heavy,15.93
R-0036,443.4,truck_large,light_snow,light,10.59
R-0037,37.6,truck_large,foggy,heavy,0.88
R-0038,670.0,truck_small,light_snow,medium,14.92
R-0039,1023.7,truck_large,clear,heavy,18.48
R-0040,646.0,truck_small,rain,medium,11.64
R-0041,260.2,truck_large,rain,medium,5.16
R-0042,1292.4,truck_large,light_snow,medium,33.02
R-0043,1406.3,van,foggy,medium,28.86
R-0044,1292.7,truck_small,clear,light,19.81
R-0045,1241.5,truck_small,light_snow,heavy,30.66
R-0046,1289.0,truck_small,foggy,heavy,28.41
R-0047,1453.1,truck_large,light_snow,heavy,41.3
R-0048,36.9,truck_small,clear,light,0.55
R-0049,1314.5,truck_large,foggy,heavy,30.63
R-0050,1034.5,van,rain,heavy,19.22
R-0051,1208.3,van,light_snow,heavy,29.24
R-0052,807.2,van,foggy,medium,16.81
R-0053,801.4,truck_large,rain,medium,16.76
R-0054,648.1,truck_large,rain,heavy,14.22
R-0055,325.2,truck_large,rain,light,6.16
R-0056,617.0,truck_large,foggy,heavy,15.16
R-0057,399.5,truck_large,clear,light,6.48
R-0058,536.8,van,foggy,medium,11.02
R-0059,357.8,van,foggy,light,6.61
R-0060,1412.4,truck_small,foggy,light,27.46
R-0061,370.0,truck_large,light_snow,light,8.91
R-0062,125.1,truck_small,rain,medium,2.23
R-0063,66.7,truck_large,foggy,heavy,1.66
R-0064,392.7,van,foggy,heavy,8.19
R-0065,897.5,truck_large,clear,heavy,16.14
R-0066,462.6,truck_small,foggy,heavy,10.38
R-0067,1313.2,van,light_snow,light,28.63
R-0068,418.2,truck_large,clear,medium,7.07
R-0069,714.6,truck_large,clear,light,11.96
R-0070,469.3,truck_small,light_snow,light,10.88
R-0071,891.6,truck_large,light_snow,light,21.46
R-0072,59.6,truck_large,rain,medium,1.21
R-0073,1400.1,truck_large,foggy,heavy,35.81
R-0074,997.8,van,light_snow,heavy,24.62
R-0075,707.6,van,clear,medium,10.02
