order_date,sku_id,location,quantity
2025-04-08,mango123,Mumbai,34
2025-04-08,mango123,Delhi,12
2025-04-08,mango123,Bangalore,49
2025-04-08,apple456,Mumbai,66
2025-04-08,apple456,Delhi,89
2025-04-08,apple456,Bangalore,63
2025-04-08,banana789,Mumbai,33
2025-04-08,banana789,Delhi,59
2025-04-08,banana789,Bangalore,33
2025-04-09,mango123,Mumbai,54
2025-04-09,mango123,Delhi,20
2025-04-09,mango123,Bangalore,35
2025-04-09,apple456,Mumbai,99
2025-04-09,apple456,Delhi,112
2025-04-09,apple456,Bangalore,87
2025-04-09,banana789,Mumbai,35
2025-04-09,banana789,Delhi,69
2025-04-09,banana789,Bangalore,25
2025-04-10,mango123,Mumbai,44
2025-04-10,mango123,Delhi,49
2025-04-10,mango123,Bangalore,62
2025-04-10,apple456,Mumbai,81
2025-04-10,apple456,Delhi,111
2025-04-10,apple456,Bangalore,88
2025-04-10,banana789,Mumbai,33
2025-04-10,banana789,Delhi,64
2025-04-10,banana789,Bangalore,54
2025-04-11,mango123,Mumbai,77
2025-04-11,mango123,Delhi,31
2025-04-11,mango123,Bangalore,52
2025-04-11,apple456,Mumbai,105
2025-04-11,apple456,Delhi,129
2025-04-11,apple456,Bangalore,100
2025-04-11,banana789,Mumbai,56
2025-04-11,banana789,Delhi,73
2025-04-11,banana789,Bangalore,38
2025-04-12,mango123,Mumbai,92
2025-04-12,mango123,Delhi,59
2025-04-12,mango123,Bangalore,69
2025-04-12,apple456,Mumbai,125
2025-04-12,apple456,Delhi,144
2025-04-12,apple456,Bangalore,106
2025-04-12,banana789,Mumbai,72
2025-04-12,banana789,Delhi,91
2025-04-12,banana789,Bangalore,60
2025-04-13,mango123,Mumbai,60
2025-04-13,mango123,Delhi,37
2025-04-13,mango123,Bangalore,40
2025-04-13,apple456,Mumbai,96
2025-04-13,apple456,Delhi,95
2025-04-13,apple456,Bangalore,85
2025-04-13,banana789,Mumbai,46
2025-04-13,banana789,Delhi,55
2025-04-13,banana789,Bangalore,35
2025-04-14,mango123,Mumbai,47
2025-04-14,mango123,Delhi,32
2025-04-14,mango123,Bangalore,58
2025-04-14,apple456,Mumbai,87
2025-04-14,apple456,Delhi,83
2025-04-14,apple456,Bangalore,78
2025-04-14,banana789,Mumbai,53
2025-04-14,banana789,Delhi,57
2025-04-14,banana789,Bangalore,38
2025-04-15,mango123,Mumbai,52
2025-04-15,mango123,Delhi,15
2025-04-15,mango123,Bangalore,35
2025-04-15,apple456,Mumbai,69
2025-04-15,apple456,Delhi,80
2025-04-15,apple456,Bangalore,53
2025-04-15,banana789,Mumbai,47
2025-04-15,banana789,Delhi,52
2025-04-15,banana789,Bangalore,37
2025-04-16,mango123,Mumbai,62
2025-04-16,mango123,Delhi,40
2025-04-16,mango123,Bangalore,56
2025-04-16,apple456,Mumbai,79
2025-04-16,apple456,Delhi,104
2025-04-16,apple456,Bangalore,69
2025-04-16,banana789,Mumbai,53
2025-04-16,banana789,Delhi,46
2025-04-16,banana789,Bangalore,49
2025-04-17,mango123,Mumbai,64
2025-04-17,mango123,Delhi,49
2025-04-17,mango123,Bangalore,42
2025-04-17,apple456,Mumbai,83
2025-04-17,apple456,Delhi,121
2025-04-17,apple456,Bangalore,91
2025-04-17,banana789,Mumbai,59
2025-04-17,banana789,Delhi,63
2025-04-17,banana789,Bangalore,42
2025-04-18,mango123,Mumbai,66
2025-04-18,mango123,Delhi,62
2025-04-18,mango123,Bangalore,73
2025-04-18,apple456,Mumbai,111
2025-04-18,apple456,Delhi,140
2025-04-18,apple456,Bangalore,98
2025-04-18,banana789,Mumbai,69
2025-04-18,banana789,Delhi,97
2025-04-18,banana789,Bangalore,46
2025-04-19,mango123,Mumbai,96
2025-04-19,mango123,Delhi,58
2025-04-19,mango123,Bangalore,65
2025-04-19,apple456,Mumbai,120
2025-04-19,apple456,Delhi,166
2025-04-19,apple456,Bangalore,132
2025-04-19,banana789,Mumbai,57
2025-04-19,banana789,Delhi,108
2025-04-19,banana789,Bangalore,65
2025-04-20,mango123,Mumbai,49
2025-04-20,mango123,Delhi,40
2025-04-20,mango123,Bangalore,65
2025-04-20,apple456,Mumbai,107
2025-04-20,apple456,Delhi,120
2025-04-20,apple456,Bangalore,83
2025-04-20,banana789,Mumbai,36
2025-04-20,banana789,Delhi,51
2025-04-20,banana789,Bangalore,41
2025-04-21,mango123,Mumbai,53
2025-04-21,mango123,Delhi,35
2025-04-21,mango123,Bangalore,61
2025-04-21,apple456,Mumbai,84
2025-04-21,apple456,Delhi,92
2025-04-21,apple456,Bangalore,81
2025-04-21,banana789,Mumbai,38
2025-04-21,banana789,Delhi,64
2025-04-21,banana789,Bangalore,41
2025-04-22,mango123,Mumbai,63
2025-04-22,mango123,Delhi,43
2025-04-22,mango123,Bangalore,44
2025-04-22,apple456,Mumbai,80
2025-04-22,apple456,Delhi,84
2025-04-22,apple456,Bangalore,70
2025-04-22,banana789,Mumbai,36
2025-04-22,banana789,Delhi,58
2025-04-22,banana789,Bangalore,30
2025-04-23,mango123,Mumbai,60
2025-04-23,mango123,Delhi,36
2025-04-23,mango123,Bangalore,56
2025-04-23,apple456,Mumbai,90
2025-04-23,apple456,Delhi,111
2025-04-23,apple456,Bangalore,73
2025-04-23,banana789,Mumbai,48
2025-04-23,banana789,Delhi,66
2025-04-23,banana789,Bangalore,33
2025-04-24,mango123,Mumbai,55
2025-04-24,mango123,Delhi,46
2025-04-24,mango123,Bangalore,47
2025-04-24,apple456,Mumbai,83
2025-04-24,apple456,Delhi,111
2025-04-24,apple456,Bangalore,70
2025-04-24,banana789,Mumbai,65
2025-04-24,banana789,Delhi,76
2025-04-24,banana789,Bangalore,44
2025-04-25,mango123,Mumbai,93
2025-04-25,mango123,Delhi,50
2025-04-25,mango123,Bangalore,68
2025-04-25,apple456,Mumbai,112
2025-04-25,apple456,Delhi,136
2025-04-25,apple456,Bangalore,116
2025-04-25,banana789,Mumbai,60
2025-04-25,banana789,Delhi,93
2025-04-25,banana789,Bangalore,55
2025-04-26,mango123,Mumbai,80
2025-04-26,mango123,Delhi,70
2025-04-26,mango123,Bangalore,95
2025-04-26,apple456,Mumbai,148
2025-04-26,apple456,Delhi,148
2025-04-26,apple456,Bangalore,126
2025-04-26,banana789,Mumbai,67
2025-04-26,banana789,Delhi,86
2025-04-26,banana789,Bangalore,57
2025-04-27,mango123,Mumbai,52
2025-04-27,mango123,Delhi,40
2025-04-27,mango123,Bangalore,62
2025-04-27,apple456,Mumbai,106
2025-04-27,apple456,Delhi,120
2025-04-27,apple456,Bangalore,78
2025-04-27,banana789,Mumbai,57
2025-04-27,banana789,Delhi,83
2025-04-27,banana789,Bangalore,39
2025-04-28,mango123,Mumbai,68
2025-04-28,mango123,Delhi,38
2025-04-28,mango123,Bangalore,51
2025-04-28,apple456,Mumbai,88
2025-04-28,apple456,Delhi,113
2025-04-28,apple456,Bangalore,91
2025-04-28,banana789,Mumbai,47
2025-04-28,banana789,Delhi,68
2025-04-28,banana789,Bangalore,40
2025-04-29,mango123,Mumbai,64
2025-04-29,mango123,Delhi,31
2025-04-29,mango123,Bangalore,56
2025-04-29,apple456,Mumbai,84
2025-04-29,apple456,Delhi,104
2025-04-29,apple456,Bangalore,82
2025-04-29,banana789,Mumbai,42
2025-04-29,banana789,Delhi,59
2025-04-29,banana789,Bangalore,55
2025-04-30,mango123,Mumbai,70
2025-04-30,mango123,Delhi,52
2025-04-30,mango123,Bangalore,43
2025-04-30,apple456,Mumbai,91
2025-04-30,apple456,Delhi,117
2025-04-30,apple456,Bangalore,90
2025-04-30,banana789,Mumbai,48
2025-04-30,banana789,Delhi,53
2025-04-30,banana789,Bangalore,39
2025-05-01,mango123,Mumbai,65
2025-05-01,mango123,Delhi,52
2025-05-01,mango123,Bangalore,51
2025-05-01,apple456,Mumbai,84
2025-05-01,apple456,Delhi,131
2025-05-01,apple456,Bangalore,89
2025-05-01,banana789,Mumbai,61
2025-05-01,banana789,Delhi,61
2025-05-01,banana789,Bangalore,52
2025-05-02,mango123,Mumbai,87
2025-05-02,mango123,Delhi,50
2025-05-02,mango123,Bangalore,77
2025-05-02,apple456,Mumbai,127
2025-05-02,apple456,Delhi,138
2025-05-02,apple456,Bangalore,105
2025-05-02,banana789,Mumbai,58
2025-05-02,banana789,Delhi,102
2025-05-02,banana789,Bangalore,72
2025-05-03,mango123,Mumbai,78
2025-05-03,mango123,Delhi,57
2025-05-03,mango123,Bangalore,92
2025-05-03,apple456,Mumbai,143
2025-05-03,apple456,Delhi,162
2025-05-03,apple456,Bangalore,123
2025-05-03,banana789,Mumbai,81
2025-05-03,banana789,Delhi,102
2025-05-03,banana789,Bangalore,55
2025-05-04,mango123,Mumbai,69
2025-05-04,mango123,Delhi,49
2025-05-04,mango123,Bangalore,53
2025-05-04,apple456,Mumbai,98
2025-05-04,apple456,Delhi,120
2025-05-04,apple456,Bangalore,105
2025-05-04,banana789,Mumbai,67
2025-05-04,banana789,Delhi,68
2025-05-04,banana789,Bangalore,37
2025-05-05,mango123,Mumbai,56
2025-05-05,mango123,Delhi,44
2025-05-05,mango123,Bangalore,63
2025-05-05,apple456,Mumbai,88
2025-05-05,apple456,Delhi,93
2025-05-05,apple456,Bangalore,88
2025-05-05,banana789,Mumbai,49
2025-05-05,banana789,Delhi,61
2025-05-05,banana789,Bangalore,47
2025-05-06,mango123,Mumbai,44
2025-05-06,mango123,Delhi,32
2025-05-06,mango123,Bangalore,68
2025-05-06,apple456,Mumbai,93
2025-05-06,apple456,Delhi,84
2025-05-06,apple456,Bangalore,85
2025-05-06,banana789,Mumbai,57
2025-05-06,banana789,Delhi,52
2025-05-06,banana789,Bangalore,48
2025-05-07,mango123,Mumbai,75
2025-05-07,mango123,Delhi,59
2025-05-07,mango123,Bangalore,49
2025-05-07,apple456,Mumbai,109
2025-05-07,apple456,Delhi,103
2025-05-07,apple456,Bangalore,86
2025-05-07,banana789,Mumbai,68
2025-05-07,banana789,Delhi,79
2025-05-07,banana789,Bangalore,50
2025-05-08,mango123,Mumbai,78
2025-05-08,mango123,Delhi,40
2025-05-08,mango123,Bangalore,55
2025-05-08,apple456,Mumbai,96
2025-05-08,apple456,Delhi,123
2025-05-08,apple456,Bangalore,92
2025-05-08,banana789,Mumbai,65
2025-05-08,banana789,Delhi,84
2025-05-08,banana789,Bangalore,65
2025-05-09,mango123,Mumbai,96
2025-05-09,mango123,Delhi,50
2025-05-09,mango123,Bangalore,92
2025-05-09,apple456,Mumbai,131
2025-05-09,apple456,Delhi,155
2025-05-09,apple456,Bangalore,121
2025-05-09,banana789,Mumbai,57
2025-05-09,banana789,Delhi,90
2025-05-09,banana789,Bangalore,52
2025-05-10,mango123,Mumbai,87
2025-05-10,mango123,Delhi,75
2025-05-10,mango123,Bangalore,98
2025-05-10,apple456,Mumbai,150
2025-05-10,apple456,Delhi,166
2025-05-10,apple456,Bangalore,139
2025-05-10,banana789,Mumbai,76
2025-05-10,banana789,Delhi,106
2025-05-10,banana789,Bangalore,57
2025-05-11,mango123,Mumbai,86
2025-05-11,mango123,Delhi,47
2025-05-11,mango123,Bangalore,79
2025-05-11,apple456,Mumbai,91
2025-05-11,apple456,Delhi,110
2025-05-11,apple456,Bangalore,84
2025-05-11,banana789,Mumbai,55
2025-05-11,banana789,Delhi,68
2025-05-11,banana789,Bangalore,41
2025-05-12,mango123,Mumbai,76
2025-05-12,mango123,Delhi,40
2025-05-12,mango123,Bangalore,50
2025-05-12,apple456,Mumbai,95
2025-05-12,apple456,Delhi,110
2025-05-12,apple456,Bangalore,93
2025-05-12,banana789,Mumbai,63
2025-05-12,banana789,Delhi,60
